Symbol,Open,Close,O-C change (%),High,Low,H-L change (%),DateTime,Market Sensitive,Headline,Link
ZNC,,,,,,,2020-07-07 09:24:00,False,Proposed issue of Securities - ZNC,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252351
ZNC,,,,,,,2020-07-07 09:24:00,False,Proposed issue of Securities - ZNC,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252350
ZNC,,,,,,,2020-07-07 09:23:00,True,Capital Raising,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252349
DOW,4.46,4.44,-0.45,4.53,4.415,2.6,2020-07-07 09:20:00,True,Downer awarded South Australian road maintenance contracts,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252348
DGF,,,,,,,2020-07-07 09:20:00,True,DOW: Downer awarded SA road maintenance contracts,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252348
EGD,2.59,2.58,-0.39,2.59,2.58,0.39,2020-07-07 09:20:00,False,Weekly NTA Estimate,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252347
AD1,,,,,,,2020-07-07 09:20:00,True,AD1 extends MSA with Victoria Government,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252346
EGD,2.59,2.58,-0.39,2.59,2.58,0.39,2020-07-07 09:19:00,False,Daily share buy-back notice - Appendix 3E,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252345
HFR,0.5,0.49,-2.0,0.5,0.49,2.04,2020-07-07 09:19:00,False,Proposed issue of Securities - HFR,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252344
EGF,1.47,1.47,0.0,1.47,1.47,0.0,2020-07-07 09:18:00,False,Daily share buy-back notice - Appendix 3E,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252343
TNR,0.02,0.02,0.0,0.021,0.02,5.0,2020-07-07 09:18:00,True,Rights Issue Prospectus,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252342
BGL,0.97,0.97,0.0,0.99,0.94,5.32,2020-07-07 09:18:00,True,"Maiden Indicated Resource 860,000oz at 11.6g/t gold",https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252341
EHH,,,,,,,2020-07-07 09:17:00,True,Status Update on 31 December 2019 Financial Statements,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252340
EAF,1.25,1.25,0.0,1.255,1.25,0.4,2020-07-07 09:17:00,False,Daily share buy-back notice - Appendix 3E,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252339
RCB,20.68,20.68,0.0,20.68,20.63,0.24,2020-07-07 09:15:00,False,Update - Dividend/Distribution - RCB,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252338
RCB,20.68,20.68,0.0,20.68,20.63,0.24,2020-07-07 09:15:00,True,Final Distribution June 2020,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252337
G1A,0.24,0.24,0.0,0.25,0.24,4.17,2020-07-07 09:15:00,True,Trading Halt,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252336
RSM,21.17,21.2,0.14,21.2,21.17,0.14,2020-07-07 09:14:00,True,Update - Dividend/Distribution - RSM,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252335
ATH,0.048,0.042,-12.5,0.051,0.04,27.5,2020-07-07 09:13:00,False,Change in substantial holding,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252334
RSM,21.17,21.2,0.14,21.2,21.17,0.14,2020-07-07 09:12:00,True,Final Distribution June 2020,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252333
AGM,,,,,,,2020-07-07 09:11:00,False,Weekly NTA Estimate,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252332
RGB,23.03,22.99,-0.17,23.03,22.99,0.17,2020-07-07 09:10:00,False,Update - Dividend/Distribution - RGB,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252331
RGB,23.03,22.99,-0.17,23.03,22.99,0.17,2020-07-07 09:10:00,True,Final Distribution June 2020,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252330
GXY,0.8,0.85,6.25,0.85,0.8,6.25,2020-07-07 09:09:00,True,Sal de Vida advances to design phase,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252329
XST,0.002,0.002,0.0,0.002,0.002,0.0,2020-07-07 09:09:00,True,Trading Halt,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252328
RAR,,,,,,,2020-07-07 09:09:00,False,Update - Dividend/Distribution - RARI,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252327
RAR,,,,,,,2020-07-07 09:09:00,True,Final Distribution June 2020,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252326
EFF,,,,,,,2020-07-07 09:07:00,False,Weekly NTA Estimate,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252325
RF1,2.43,2.53,4.12,2.54,2.43,4.53,2020-07-07 09:04:00,False,Daily share buy-back notice - Appendix 3E,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252324
KTA,0.1,0.1,0.0,0.12,0.091,31.87,2020-07-07 09:04:00,True,Trading Halt,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252323
RDV,24.1,24.04,-0.25,24.17,24.04,0.54,2020-07-07 09:03:00,False,Update - Dividend/Distribution - RDV,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252322
TAS,0.034,0.033,-2.94,0.034,0.033,3.03,2020-07-07 09:03:00,True,First Significant Australian EdenCrete Order,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252321
FXL,1.165,1.265,8.58,1.275,1.165,9.44,2020-07-07 09:02:00,False,FXL - appointment of new CFO,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252320
RDV,24.1,24.04,-0.25,24.17,24.04,0.54,2020-07-07 09:01:00,True,Final Distribution June 2020,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252319
